timestamp,web_ready_replicas,web_available_replicas,web_spec_replicas,jobs_ready_replicas,jobs_available_replicas,jobs_spec_replicas,web_hpa_current_replicas,web_hpa_desired_replicas,jobs_hpa_current_replicas,jobs_hpa_desired_replicas,web_restart_total,jobs_restart_total
2026-04-02T18:16:06+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:16:12+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:16:18+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:16:24+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:16:30+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:16:37+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:16:43+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:16:49+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:16:56+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:17:02+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:17:08+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:17:14+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:17:20+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:17:27+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:17:33+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:17:39+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:17:45+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:17:51+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:17:57+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:18:03+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:18:09+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:18:16+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:18:22+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:18:29+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:18:36+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:18:42+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:18:48+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:18:54+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:19:00+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:19:06+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:19:12+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:19:18+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:19:24+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:19:30+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:19:36+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:19:42+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:19:48+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:19:54+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:20:00+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:20:06+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:20:12+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:20:18+00:00,1,1,1,0,0,0,0,0,0,0,3,0
