timestamp,web_ready_replicas,web_available_replicas,web_spec_replicas,jobs_ready_replicas,jobs_available_replicas,jobs_spec_replicas,web_hpa_current_replicas,web_hpa_desired_replicas,jobs_hpa_current_replicas,jobs_hpa_desired_replicas,web_restart_total,jobs_restart_total
2026-04-02T16:56:39+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:56:45+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:56:52+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:56:58+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:57:04+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:57:10+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:57:16+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:57:22+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:57:29+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:57:35+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:57:42+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:57:48+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:57:54+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:58:00+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:58:07+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:58:13+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:58:19+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:58:25+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:58:32+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:58:38+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:58:44+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:58:51+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:58:57+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:59:04+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:59:10+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:59:16+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:59:22+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:59:29+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:59:35+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:59:41+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:59:48+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:59:54+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:00:01+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:00:07+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:00:14+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:00:20+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:00:27+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:00:33+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:00:39+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:00:46+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:00:53+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:01:00+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:01:07+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:01:14+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:01:20+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:01:27+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:01:33+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:01:40+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:01:47+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:01:53+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:01:59+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:02:05+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:02:12+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:02:18+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T17:02:24+00:00,1,1,1,0,0,0,0,0,0,0,3,0
